number_of_steps,episode_number,won,algorithm,state,Q_value_state
14,980,0,standard,,
62,981,1,standard,,
5,982,0,standard,,
2,983,0,standard,5,0.11081214207368381
11,984,1,standard,,
27,985,0,standard,,
21,986,0,standard,5,0.10978780281622143
7,987,0,standard,,
15,988,0,standard,,
27,989,0,standard,,
11,990,0,standard,,
19,991,1,standard,,
3,992,0,standard,5,0.10046658196266506
28,993,1,standard,,
21,994,0,standard,,
12,995,0,standard,,
2,996,0,standard,5,0.11880452986460614
19,997,1,standard,,
7,998,0,standard,,
28,999,0,standard,,
13,1000,0,standard,,
16,1001,0,standard,5,0.11158625417515267
7,1002,0,standard,,
3,1003,0,standard,,
18,1004,0,standard,5,0.1004276287576374
14,1005,0,standard,,
35,1006,0,standard,,
5,1007,0,standard,,
5,1008,0,standard,5,0.24209453232306344
12,1009,0,standard,,
32,1010,0,standard,,
21,1011,0,standard,,
29,1012,0,standard,,
16,1013,0,standard,,
11,1014,0,standard,,
27,1015,0,standard,,
15,1016,0,standard,,
10,1017,0,standard,,
2,1018,0,standard,,
8,1019,0,standard,,
11,1020,0,standard,,
16,1021,0,standard,,
6,1022,0,standard,,
15,1023,0,standard,,
10,1024,0,standard,,
6,1025,0,standard,,
15,1026,0,standard,,
20,1027,0,standard,,
13,1028,0,standard,,
48,1029,0,standard,,
7,1030,0,standard,,
38,1031,0,standard,,
26,1032,0,standard,,
39,1033,0,standard,,
11,1034,0,standard,,
20,1035,0,standard,,
16,1036,0,standard,,
11,1037,0,standard,,
16,1038,0,standard,5,0.15954744892594788
9,1039,0,standard,,
30,1040,1,standard,,
2,1041,0,standard,5,0.14359565259316565
24,1042,0,standard,,
27,1043,0,standard,,
36,1044,0,standard,,
3,1045,0,standard,,
12,1046,0,standard,,
11,1047,0,standard,,
11,1048,0,standard,,
9,1049,0,standard,,
8,1050,0,standard,,
8,1051,0,standard,,
3,1052,0,standard,5,0.10578297889694055
2,1053,0,standard,,
11,1054,0,standard,,
8,1055,0,standard,,
6,1056,0,standard,,
22,1057,0,standard,5,0.0988254731163405
7,1058,0,standard,,
13,1059,0,standard,5,0.09293696311638172
16,1060,0,standard,,
9,1061,0,standard,,
19,1062,0,standard,,
6,1063,0,standard,,
14,1064,0,standard,,
6,1065,0,standard,,
2,1066,0,standard,5,0.1292360873338491
53,1067,0,standard,,
16,1068,0,standard,5,0.12530371518305938
28,1069,0,standard,,
2,1070,0,standard,5,0.11507969079212918
30,1071,1,standard,,
14,1072,0,standard,,
